"nomscientifiqueref" "nomvernaculaire" "cdnom" "espece" "genre" "famille" "especeevalueelr" "especereglementee" "dateobservation" "codeinseecommune" "annee"
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-24" 51234 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-12-11" 55532 2012
"Sitta europaea" "Sittelle torchepot" 3774 "Sitta europaea" "Sitta" "Sittidae" "true" "false" "2012-05-04" 88120 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "true" "false" "2012-11-29" 55166 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "false" "true" "2012-11-09" 54159 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "false" "true" "2012-12-17" 10362 2012
"Columba palumbus" "Pigeon ramier" 3424 "Columba palumbus" "Columba" "Columbidae" "false" "true" "2012-09-23" 10104 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-12-29" 8394 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-09-30" 67544 2012
"Linaria cannabina" "Linotte mélodieuse" 889047 "Linaria cannabina" "Linaria" "Fringillidae" "false" "false" "2012-03-28" 51662 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-05-04" 55166 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-04-07" 52265 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-12-09" 55551 2012
"Corvus corone" "Corneille noire" 4503 "Corvus corone" "Corvus" "Corvidae" "true" "false" "2012-07-08" 67544 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-11-11" 8105 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-07-28" 67280 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-12-19" 51237 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-12-03" 68029 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-06-06" 55166 2012
"Coccothraustes coccothraustes" "Grosbec casse-noyaux" 4625 "Coccothraustes coccothraustes" "Coccothraustes" "Fringillidae" "false" "false" "2012-12-16" 55434 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "true" "false" "2012-09-08" 68029 2012
"Turdus viscivorus" "Grive draine" 4142 "Turdus viscivorus" "Turdus" "Turdidae" "false" "true" "2012-03-27" 52265 2012
"Phoenicurus phoenicurus" "Rougequeue à front blanc" 4040 "Phoenicurus phoenicurus" "Phoenicurus" "Muscicapidae" "true" "false" "2012-09-23" 67280 2012
"Corvus corone" "Corneille noire" 4503 "Corvus corone" "Corvus" "Corvidae" "true" "false" "2012-11-18" 10104 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-04-27" 55427 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-12-15" 51356 2012
"Corvus corone" "Corneille noire" 4503 "Corvus corone" "Corvus" "Corvidae" "true" "false" "2012-09-06" 68029 2012
"Sitta europaea" "Sittelle torchepot" 3774 "Sitta europaea" "Sitta" "Sittidae" "false" "false" "2012-07-27" 55166 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-12-25" 52398 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-04" 68278 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-05-31" 57205 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-10-14" 55514 2012
"Troglodytes troglodytes" "Troglodyte mignon" 3967 "Troglodytes troglodytes" "Troglodytes" "Troglodytidae" "false" "false" "2012-11-21" 68029 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-08-13" 68029 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-05-26" 57672 2012
"Corvus monedula" "Choucas des tours" 4496 "Corvus monedula" "Corvus" "Corvidae" "false" "true" "2012-12-08" 55166 2012
"Poecile palustris" "Mésange nonnette" 534753 "Poecile palustris" "Poecile" "Paridae" "true" "false" "2012-12-23" 55551 2012
"Hirundo rustica" "Hirondelle rustique, Hirondelle de cheminée" 3696 "Hirundo rustica" "Hirundo" "Hirundinidae" "true" "false" "2012-04-05" 52265 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-06-12" 68029 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-10-06" 52432 2012
"Dendrocopos major" "Pic épeiche" 3611 "Dendrocopos major" "Dendrocopos" "Picidae" "true" "false" "2012-12-05" 55166 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-05-16" 52265 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "false" "false" "2012-05-17" 10224 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-26" 55434 2012
"Delichon urbicum" "Hirondelle de fenêtre" 459478 "Delichon urbicum" "Delichon" "Hirundinidae" "true" "false" "2012-08-29" 68029 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-12-05" 51662 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-06-30" 67280 2012
"Sitta europaea" "Sittelle torchepot" 3774 "Sitta europaea" "Sitta" "Sittidae" "true" "false" "2012-08-26" 57205 2012
"Periparus ater" "Mésange noire" 534751 "Periparus ater" "Periparus" "Paridae" "true" "false" "2012-11-27" 88423 2012
"Aegithalos caudatus" "Mésange à longue queue, Orite à longue queue" 4342 "Aegithalos caudatus" "Aegithalos" "Aegithalidae" "true" "false" "2012-08-14" 10224 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-04-29" 54159 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-04-10" 68066 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-09-23" 55514 2012
