"nomscientifiqueref";"nomvernaculaire";"cdnom";"espece";"genre";"famille";"especeevalueelr";"especereglementee";"dateobservation";"codeinseecommune";"annee"
"Emberiza cirlus";"Bruant zizi";4659;"Emberiza cirlus";"Emberiza";"Emberizidae";"false";"false";"2014-04-06";10224;2014
"Columba palumbus";"Pigeon ramier";3424;"Columba palumbus";"Columba";"Columbidae";"false";"true";"2014-03-18";67282;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-01-09";52250;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-06-07";51373;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-02-14";68029;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"true";"false";"2014-01-29";68156;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"false";"true";"2014-06-03";52250;2014
"Garrulus glandarius";"Geai des chênes";4466;"Garrulus glandarius";"Garrulus";"Corvidae";"true";"false";"2014-03-23";10104;2014
"Corvus corone";"Corneille noire";4503;"Corvus corone";"Corvus";"Corvidae";"true";"false";"2014-01-19";10224;2014
"Poecile palustris";"Mésange nonnette";534753;"Poecile palustris";"Poecile";"Paridae";"true";"false";"2014-02-09";52250;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-11-15";68058;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"true";"false";"2014-02-06";51242;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"true";"false";"2014-03-02";51028;2014
"Fringilla coelebs";"Pinson des arbres";4564;"Fringilla coelebs";"Fringilla";"Fringillidae";"true";"false";"2014-12-26";51108;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"false";"true";"2014-10-18";52250;2014
"Erithacus rubecula";"Rougegorge familier";4001;"Erithacus rubecula";"Erithacus";"Muscicapidae";"true";"false";"2014-01-10";8105;2014
"Linaria cannabina";"Linotte mélodieuse";889047;"Linaria cannabina";"Linaria";"Fringillidae";"false";"false";"2014-05-24";10224;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-01-25";51027;2014
"Pica pica";"Pie bavarde";4474;"Pica pica";"Pica";"Corvidae";"true";"false";"2014-04-05";68375;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-10-10";52121;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-12-31";51242;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"false";"false";"2014-02-20";52250;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-05-14";52250;2014
"Pica pica";"Pie bavarde";4474;"Pica pica";"Pica";"Corvidae";"true";"false";"2014-04-23";68029;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-08-25";68029;2014
"Turdus viscivorus";"Grive draine";4142;"Turdus viscivorus";"Turdus";"Turdidae";"true";"false";"2014-01-04";10224;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"false";"true";"2014-03-02";68375;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"false";"true";"2014-04-13";68029;2014
"Pica pica";"Pie bavarde";4474;"Pica pica";"Pica";"Corvidae";"true";"false";"2014-11-06";68318;2014
"Prunella modularis";"Accenteur mouchet";3978;"Prunella modularis";"Prunella";"Prunellidae";"false";"false";"2014-12-28";52194;2014
"Phoenicurus phoenicurus";"Rougequeue à front blanc";4040;"Phoenicurus phoenicurus";"Phoenicurus";"Muscicapidae";"true";"false";"2014-05-24";67482;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"true";"false";"2014-01-25";67544;2014
"Pica pica";"Pie bavarde";4474;"Pica pica";"Pica";"Corvidae";"true";"false";"2014-04-29";68029;2014
"Columba livia";"Pigeon biset";3420;"Columba livia";"Columba";"Columbidae";"false";"true";"2014-09-04";68029;2014
"Pica pica";"Pie bavarde";4474;"Pica pica";"Pica";"Corvidae";"true";"false";"2014-12-04";52250;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"false";"false";"2014-12-29";10232;2014
"Cyanistes caeruleus";"Mésange bleue";534742;"Cyanistes caeruleus";"Cyanistes";"Paridae";"true";"false";"2014-05-20";67331;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"true";"false";"2014-12-26";10224;2014
"Chloris chloris";"Verdier d'Europe";4582;"Chloris chloris";"Chloris";"Fringillidae";"false";"false";"2014-05-24";51312;2014
"Columba livia";"Pigeon biset";3420;"Columba livia";"Columba";"Columbidae";"false";"true";"2014-01-15";52265;2014
"Spinus spinus";"Tarin des aulnes";889056;"Spinus spinus";"Spinus";"Fringillidae";"false";"false";"2014-01-25";67551;2014
"Fringilla montifringilla";"Pinson du nord, Pinson des Ardennes";4568;"Fringilla montifringilla";"Fringilla";"Fringillidae";"false";"false";"2014-01-06";68029;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"false";"false";"2014-02-02";67263;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-01-26";8024;2014
"Regulus regulus";"Roitelet huppé";4308;"Regulus regulus";"Regulus";"Regulidae";"true";"false";"2014-02-17";51249;2014
"Streptopelia decaocto";"Tourterelle turque";3429;"Streptopelia decaocto";"Streptopelia";"Columbidae";"false";"true";"2014-03-18";8039;2014
"Turdus merula";"Merle noir";4117;"Turdus merula";"Turdus";"Turdidae";"false";"true";"2014-01-04";51266;2014
"Sylvia atricapilla";"Fauvette à tête noire";4257;"Sylvia atricapilla";"Sylvia";"Sylviidae";"true";"false";"2014-08-19";68029;2014
"Chloris chloris";"Verdier d'Europe";4582;"Chloris chloris";"Chloris";"Fringillidae";"false";"false";"2014-05-25";8403;2014
"Chloris chloris";"Verdier d'Europe";4582;"Chloris chloris";"Chloris";"Fringillidae";"false";"false";"2014-01-15";8420;2014
"Erithacus rubecula";"Rougegorge familier";4001;"Erithacus rubecula";"Erithacus";"Muscicapidae";"true";"false";"2014-01-25";10053;2014
"Passer domesticus";"Moineau domestique";4525;"Passer domesticus";"Passer";"Passeridae";"false";"false";"2014-09-07";68029;2014
"Parus major";"Mésange charbonnière";3764;"Parus major";"Parus";"Paridae";"true";"false";"2014-03-07";68316;2014
"Garrulus glandarius";"Geai des chênes";4466;"Garrulus glandarius";"Garrulus";"Corvidae";"true";"false";"2014-05-25";52265;2014
"Phoenicurus ochruros";"Rougequeue noir";4035;"Phoenicurus ochruros";"Phoenicurus";"Muscicapidae";"false";"false";"2014-03-17";67382;2014
